Country;Trade balance percent of GDP 2020Ê
Gabon;24.98
Angola;18.96
Guinea;17.77
Zambia;14.25
Djibouti;8.43
South Africa;4.43
Ghana;2.93
Swaziland;2.72
Ivory Coast;1.09
Sudan;0.09
Tanzania;-1.01
DR Congo;-1.28
Zimbabwe;-1.60
Eq. Guinea;-2.45
Cameroon;-3.19
Benin;-5.09
Mali;-5.68
Uganda;-6.17
Egypt;-7.55
Morocco;-7.63
Kenya;-7.95
Madagascar;-8.08
Tunisia;-8.32
Namibia;-9.23
Togo;-9.45
Ethiopia;-9.75
Algeria;-9.84
Mauritania;-11.51
G.-Bissau;-14.86
Botswana;-15.11
Chad;-15.30
Niger;-15.60
Rwanda;-16.52
Burundi;-17.67
Senegal;-18.67
Mauritius;-18.70
C.A. Republic;-19.18
Sierra Leone;-21.38
Comoros;-22.46
Seychelles;-23.48
Gambia;-29.48
Cape Verde;-34.99
Mozambique;-43.55
Lesotho;-47.38
Somalia;-66.62
Democratic Republic of the Congo;15.30
Central African Republic;-19.25
Equatorial Guinea;15.85
Eritrea;-19.07
Cote d'Ivoire;3.14
Liberia;-16.27
Libyan Arab Jamahiriya;-10.01
Malawi;-17.31
Nigeria;-5.58
Guinea-Bissau;-14.86
Sao Tome and Principe;-25.59
United Republic of Tanzania;-2.83
Burkina Faso;1.42

